group,code,name,market,sector,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,comment,nextCheck,caution
過去1年2倍以上,3891,ニッポン高度紙工業,スタンダード（内国株式）,パルプ・紙,473.8,上昇中押し目,3,66.7,7.1,-8.8,待ち,35.9,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6072,地盤ネットホールディングス,スタンダード（内国株式）,サービス業,470,高値更新,7,57.1,10.6,-21.3,待ち,31.7,見送り寄り,値動きは大きいですが、最大下落が深い。買い候補ではなく監視・除外判断を優先します,出来高、材料、過熱感,最大下落が深い
過去1年2倍以上,4004,レゾナック・ホールディングス,プライム（内国株式）,化学,452.1,上昇中押し目,3,100,11,-3.9,上昇中押し目,69.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,5803,フジクラ,プライム（内国株式）,非鉄金属,447.8,高値更新,8,62.5,3.8,-19.1,上昇中押し目,30.6,見送り寄り,値動きは大きいですが、最大下落が深い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,最大下落が深い
過去1年2倍以上,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,電気機器,439.5,上昇中押し目,6,66.7,4.6,-12.4,上昇中押し目,41.5,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,7746,岡本硝子,スタンダード（内国株式）,精密機器,434.6,高値更新,6,50,6.2,-10.6,待ち,33.3,中立,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,6779,日本電波工業,プライム（内国株式）,電気機器,432.9,上昇中押し目,3,66.7,6.7,-5.8,上昇中押し目,46.7,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6387,サムコ,プライム（内国株式）,機械,403.5,上昇中押し目,2,100,11.5,-3.9,上昇中押し目,67.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6981,村田製作所,プライム（内国株式）,電気機器,403.4,高値更新,11,72.7,7.2,-11.7,上昇中押し目,49.8,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6800,ヨコオ,プライム（内国株式）,電気機器,396.8,上昇中押し目,1,100,16.6,-4,待ち,48.4,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,6997,日本ケミコン,プライム（内国株式）,電気機器,389.5,上昇中押し目,5,40,2.2,-9.7,待ち,21.6,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,財務、材料、流動性,勝率が低い
過去1年2倍以上,6787,メイコー,プライム（内国株式）,電気機器,386.3,上昇中押し目,3,66.7,6.7,-6.5,待ち,38,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6278,ユニオンツール,プライム（内国株式）,機械,375.2,上昇中押し目,2,100,12.4,-3.8,上昇中押し目,69.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,1948,弘電社,スタンダード（内国株式）,建設業,365.3,上昇中押し目,2,100,12.7,-5.8,高値圏,55.4,良さそう,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,2334,イオレ,グロース（内国株式）,サービス業,362.6,高値更新,5,20,-4.9,-11.6,上昇中押し目,6.3,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,勝率が低い
過去1年2倍以上,6627,テラプローブ,スタンダード（内国株式）,電気機器,343.1,上昇中押し目,4,75,9.3,-3.5,上昇中押し目,60.8,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,4588,オンコリスバイオファーマ,グロース（内国株式）,医薬品,341.5,上昇中押し目,9,33.3,1.2,-8.2,上昇中押し目,28.2,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,勝率が低い
過去1年2倍以上,4047,関東電化工業,プライム（内国株式）,化学,333.8,高値更新,8,75,12.5,-12.5,上昇中押し目,60.1,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,7256,河西工業,スタンダード（内国株式）,輸送用機器,328.4,上昇中押し目,2,100,24.1,-5.7,上昇中押し目,90.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,5333,ＮＧＫ,プライム（内国株式）,ガラス・土石製品,328,高値更新,9,66.7,7.7,-8.5,待ち,44.5,良さそう,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,6480,日本トムソン,プライム（内国株式）,機械,324.6,高値更新,8,75,9.1,-9.2,上昇中押し目,57.5,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,485A,パワーエックス,グロース（内国株式）,電気機器,314.8,安値反転,0,0,0,0,待ち,-30,未約定,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,勝率が低い
過去1年2倍以上,6941,山一電機,プライム（内国株式）,電気機器,308.3,上昇中押し目,5,60,4.4,-11.5,上昇中押し目,39,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6264,マルマエ,プライム（内国株式）,機械,304,高値更新,9,55.6,5.5,-8.5,上昇中押し目,44.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6101,ツガミ,プライム（内国株式）,機械,297.7,高値更新,9,44.4,2.6,-7.8,待ち,27.5,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,出来高、材料、過熱感,勝率が低い
過去1年2倍以上,4971,メック,プライム（内国株式）,化学,295.2,上昇中押し目,3,100,12.6,-2.4,上昇中押し目,74.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6993,大黒屋ホールディングス,スタンダード（内国株式）,小売業,291.3,高値更新,2,100,30.6,-5,待ち,96.2,良さそう,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,6857,アドバンテスト,プライム（内国株式）,電気機器,290.7,上昇中押し目,6,66.7,7.1,-5.6,上昇中押し目,54.9,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,4392,ＦＩＧ,プライム（内国株式）,情報・通信業,284.5,安値反転,2,100,27.3,-5.9,上昇中押し目,96.5,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6855,日本電子材料,スタンダード（内国株式）,電気機器,283.7,上昇中押し目,6,66.7,6.4,-7.7,上昇中押し目,50.8,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,8050,セイコーグループ,プライム（内国株式）,精密機器,277,上昇中押し目,2,100,10.6,-5.5,待ち,55.7,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6740,ジャパンディスプレイ,プライム（内国株式）,電気機器,275,上昇中押し目,3,66.7,7.9,-5,待ち,42,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6871,日本マイクロニクス,プライム（内国株式）,電気機器,274,上昇中押し目,4,75,8.7,-5.7,待ち,48.8,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,7771,日本精密,スタンダード（内国株式）,精密機器,272.9,安値反転,1,100,40.7,0,待ち,101.4,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,319A,技術承継機構,グロース（内国株式）,金属製品,271.9,上昇中押し目,5,80,11.3,-4.4,上昇中押し目,68.4,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,3444,菊池製作所,スタンダード（内国株式）,金属製品,265.2,高値更新,6,83.3,10.1,-8.9,上昇中押し目,62.6,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,3436,ＳＵＭＣＯ,プライム（内国株式）,金属製品,263.3,上昇中押し目,7,57.1,5.3,-8.5,上昇中押し目,44.4,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,4368,扶桑化学工業,プライム（内国株式）,化学,263,高値更新,8,62.5,6.1,-8.3,待ち,40.1,良さそう,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,6996,ニチコン,プライム（内国株式）,電気機器,261.3,上昇中押し目,5,60,4.8,-7,上昇中押し目,45.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,4255,ＴＨＥＣＯＯ,グロース（内国株式）,情報・通信業,258.7,上昇中押し目,2,50,2.9,-4.3,上昇中押し目,32,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6376,日機装,プライム（内国株式）,精密機器,256.4,上昇中押し目,1,100,11.1,-2.4,高値圏,35.4,中立,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,検証回数が少ない
過去1年2倍以上,5998,アドバネクス,スタンダード（内国株式）,金属製品,254.2,上昇中押し目,2,100,10.9,-0.6,待ち,62.1,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6617,東光高岳,プライム（内国株式）,電気機器,252.8,上昇中押し目,3,66.7,6.3,-6.4,上昇中押し目,45.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6999,ＫＯＡ,プライム（内国株式）,電気機器,249.5,上昇中押し目,2,100,15.1,-1.8,待ち,69.2,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,268A,リガク・ホールディングス,プライム（内国株式）,精密機器,247.9,上昇中押し目,4,50,2.5,-10,待ち,22.5,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6890,フェローテック,スタンダード（内国株式）,電気機器,245.5,高値更新,7,57.1,6,-7.2,上昇中押し目,47.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6961,エンプラス,プライム（内国株式）,電気機器,245.2,上昇中押し目,4,50,0.2,-11.3,待ち,16.3,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,4461,第一工業製薬,プライム（内国株式）,化学,242.7,高値更新,6,50,2.1,-14.5,待ち,20.3,中立,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,4970,東洋合成工業,スタンダード（内国株式）,化学,242.6,上昇中押し目,4,75,5.4,-6.7,上昇中押し目,49.2,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6840,ＡＫＩＢＡホールディングス,スタンダード（内国株式）,電気機器,238.1,高値更新,8,37.5,1.7,-11.1,上昇中押し目,27.2,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,勝率が低い
過去1年2倍以上,7826,フルヤ金属,プライム（内国株式）,その他製品,236,上昇中押し目,3,100,11.7,-4,待ち,62.6,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6920,レーザーテック,プライム（内国株式）,電気機器,229.4,高値更新,8,50,4.5,-9.5,上昇中押し目,39,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6134,ＦＵＪＩ,プライム（内国株式）,機械,227.2,上昇中押し目,1,100,15.9,-4,待ち,46.9,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,6994,指月電機製作所,スタンダード（内国株式）,電気機器,224.5,上昇中押し目,8,62.5,7.3,-7.7,待ち,43.3,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,5367,ニッカトー,スタンダード（内国株式）,ガラス・土石製品,223.9,高値更新,8,62.5,7.8,-12.5,上昇中押し目,46.6,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,4082,第一稀元素化学工業,プライム（内国株式）,化学,218.5,高値更新,5,60,7.4,-11.1,待ち,37.5,良さそう,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,3294,イーグランド,スタンダード（内国株式）,不動産業,217,高値更新,3,66.7,6.4,-3.5,高値圏,36.9,良さそう,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,2737,トーメンデバイス,プライム（内国株式）,卸売業,216.3,上昇中押し目,5,60,4.6,-7.6,高値圏,32.2,中立,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,3441,山王,スタンダード（内国株式）,金属製品,215.9,上昇中押し目,1,100,14,0,待ち,48.1,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,6963,ローム,プライム（内国株式）,電気機器,212.6,上昇中押し目,2,50,2.4,-6.9,待ち,20,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6668,アドテック　プラズマ　テクノロジー,スタンダード（内国株式）,電気機器,211.9,上昇中押し目,1,100,17.5,0,待ち,55,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,8392,大分銀行,プライム（内国株式）,銀行業,211.1,上昇中押し目,4,100,9.6,-0.6,待ち,65.4,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6407,ＣＫＤ,プライム（内国株式）,機械,209.4,上昇中押し目,5,60,7.2,-7.6,上昇中押し目,49.2,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,7735,ＳＣＲＥＥＮホールディングス,プライム（内国株式）,電気機器,209.4,上昇中押し目,5,60,4.8,-6.3,待ち,38.1,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,9984,ソフトバンクグループ,プライム（内国株式）,情報・通信業,209,安値反転,1,100,16.7,-6.7,待ち,45.3,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,電気機器,208.8,上昇中押し目,5,60,4,-11.2,待ち,30.6,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,7318,セレンディップ・ホールディングス,グロース（内国株式）,輸送用機器,208.1,上昇中押し目,2,100,11.8,0,上昇中押し目,72.6,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6492,岡野バルブ製造,スタンダード（内国株式）,機械,206.1,安値反転,1,100,20,0,上昇中押し目,68,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,検証回数が少ない
過去1年2倍以上,9880,イノテック,プライム（内国株式）,電気機器,205.7,上昇中押し目,4,75,12.2,-6.2,上昇中押し目,63.2,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,8362,福井銀行,プライム（内国株式）,銀行業,205.4,上昇中押し目,3,66.7,5.8,-4.2,待ち,38.9,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,4022,ラサ工業,プライム（内国株式）,化学,204.7,上昇中押し目,4,75,8.7,-4.6,上昇中押し目,58.2,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,1909,日本ドライケミカル,スタンダード（内国株式）,機械,204.6,上昇中押し目,1,100,25.4,0,待ち,70.8,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,4966,上村工業,スタンダード（内国株式）,化学,203.6,高値更新,7,57.1,4.2,-8.4,待ち,34.2,中立,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,8361,大垣共立銀行,プライム（内国株式）,銀行業,201.5,上昇中押し目,3,66.7,3.8,-4.1,上昇中押し目,42.9,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6629,テクノホライゾン,スタンダード（内国株式）,電気機器,200.6,上昇中押し目,2,50,2.5,-7.7,待ち,19.3,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,6752,パナソニック　ホールディングス,プライム（内国株式）,電気機器,198.8,上昇中押し目,1,100,10.8,0,高値圏,37.6,中立,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,検証回数が少ない
過去1年2倍以上,4422,ＶＡＬＵＥＮＥＸ,グロース（内国株式）,情報・通信業,196.3,高値更新,9,44.4,3,-13,待ち,22,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,出来高、材料、過熱感,勝率が低い
過去1年2倍以上,7717,ブイ・テクノロジー,プライム（内国株式）,精密機器,195.9,安値反転,1,100,19.8,-3.3,高値圏,51.7,中立,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,検証回数が少ない
過去1年2倍以上,7762,シチズン時計,プライム（内国株式）,精密機器,194,高値更新,6,66.7,8,-6.7,高値圏,43.3,良さそう,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,6336,石井表記,スタンダード（内国株式）,機械,191.8,上昇中押し目,3,100,11.5,0,上昇中押し目,75,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,8035,東京エレクトロン,プライム（内国株式）,電気機器,191.7,上昇中押し目,3,66.7,5.2,-6.7,待ち,34.7,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,4186,東京応化工業,プライム（内国株式）,化学,190.4,上昇中押し目,4,75,7.2,-5.7,待ち,45.8,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,8393,宮崎銀行,プライム（内国株式）,銀行業,189.4,高値更新,6,83.3,10.9,-2.6,高値圏,59.9,良さそう,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,6217,津田駒工業,スタンダード（内国株式）,機械,189,高値更新,6,83.3,15.7,-10.7,待ち,63.8,良さそう,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,5074,テスホールディングス,プライム（内国株式）,建設業,188.4,上昇中押し目,1,100,21.4,0,上昇中押し目,70.9,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,検証回数が少ない
