code,name,sector,price,shares,cash,interestDebt,netAssets,bps,eps,pbrLow,pbrHigh,note,history
5232,住友大阪セメント,ガラス・土石製品,6212,10000000,15530,6212,62120,6212,345.1,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,6144|6050|6044|6050|5995|5977|6372|6212
7734,理研計器,精密機器,3645,10000000,9113,3645,36450,3645,202.5,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,3630|3715|3625|3620|3595|3615|3620|3645
4256,サインド,情報・通信業,913,10000000,2283,913,9130,913,50.7,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,913|913|908|916|939|906|919|913
5363,東京窯業,ガラス・土石製品,674,10000000,1685,674,6740,674,37.4,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,703|703|690|699|684|685|687|674
4351,山田再生系債権回収総合事務所,その他金融業,924,10000000,2310,924,9240,924,51.3,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,961|955|960|959|946|943|945|924
7513,コジマ,小売業,1275,10000000,3188,1275,12750,1275,70.8,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1369|1366|1389|1284|1272|1271|1292|1275
1515,日鉄鉱業,鉱業,2285,10000000,5713,2285,22850,2285,126.9,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2593|2582|2566|2651|2484|2443|2397|2285
6648,かわでん,電気機器,1807,10000000,4518,1807,18070,1807,100.4,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1779|1796|1814|1853|1819|1799|1901|1807
7245,大同メタル工業,輸送用機器,1691,10000000,4228,1691,16910,1691,93.9,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1372|1421|1491|1527|1545|1675|1747|1691
4679,田谷,サービス業,243,10000000,608,243,2430,243,13.5,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,251|251|252|248|247|243|242|243
6643,戸上電機製作所,電気機器,5150,10000000,12875,5150,51500,5150,286.1,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,5000|5180|5190|5220|5220|5120|5080|5150
7781,平山ホールディングス,精密機器,778.5,10000000,1948,779,7790,779,43.3,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1485|780|765|770|768|772|780|779
6859,エスペック,電気機器,4370,10000000,10925,4370,43700,4370,242.8,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,4470|4605|4700|4675|4495|4415|4580|4370
1814,大末建設,建設業,3200,10000000,8000,3200,32000,3200,177.8,0.75,1.8,推定下書き。監視しながら財務確認。安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,3265|3275|3255|3230|3140|3155|3180|3200
5458,高砂鐵工,鉄鋼,1240,10000000,3100,1240,12400,1240,68.9,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1300|1254|1269|1275|1275|1223|1240|1240
4341,西菱電機,サービス業,871,10000000,2178,871,8710,871,48.4,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,843|833|860|862|864|869|870|871
7004,カナデビア,機械,1260,10000000,3150,1260,12600,1260,70,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1453|1435|1435|1427|1379|1328|1283|1260
5233,太平洋セメント,ガラス・土石製品,4087,10000000,10218,4087,40870,4087,227.1,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,4425|4376|4280|4206|4133|4081|4092|4087
155A,情報戦略テクノロジー,情報・通信業,840,10000000,2100,840,8400,840,46.7,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,866|886|883|914|896|844|869|840
6999,ＫＯＡ,電気機器,2929,10000000,7323,2929,29290,2929,162.7,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2929|2907|2930|3070|2908|2883|3035|2929
9104,商船三井,海運業,5219,10000000,13048,5219,52190,5219,289.9,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,5438|5362|5264|5293|5328|5370|5255|5219
543A,ＡＲＣＨＩＯＮ,輸送用機器,278,10000000,695,278,2780,278,15.4,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,298|300|292|298|285|285|282|278
5290,ベルテクスコーポレーション,ガラス・土石製品,1329,10000000,3323,1329,13290,1329,73.8,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1394|1358|1329|1324|1339|1309|1323|1329
7426,山大,卸売業,599,10000000,1498,599,5990,599,33.3,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,599|599|599|599|599|599|599|599
3093,トレジャー・ファクトリー,小売業,2063,10000000,5158,2063,20630,2063,114.6,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2110|2100|2044|2043|1980|1959|2012|2063
8066,三谷商事,卸売業,2507,10000000,6268,2507,25070,2507,139.3,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2464|2513|2509|2461|2463|2488|2463|2507
